Reading training examples... (131 examples) done
Training set properties: 6147 features, 4 classes
Iter 79: *(NumConst=69, SV=49, CEps=0.5778, QPEps=0.2421)
Iter 80: *(NumConst=70, SV=50, CEps=0.5263, QPEps=0.2493)
Iter 81: *(NumConst=71, SV=51, CEps=0.5434, QPEps=0.2454)
Iter 82: *(NumConst=72, SV=51, CEps=0.5281, QPEps=0.2487)
Iter 83: *(NumConst=72, SV=52, CEps=0.5711, QPEps=0.2394)
Iter 84: *(NumConst=72, SV=53, CEps=0.4300, QPEps=0.2108)
Iter 85: *(NumConst=73, SV=54, CEps=0.4456, QPEps=0.1914)
Iter 86: *(NumConst=73, SV=55, CEps=0.5095, QPEps=0.2089)
Iter 87: *(NumConst=74, SV=56, CEps=0.6946, QPEps=0.2087)
Iter 88: *(NumConst=75, SV=58, CEps=0.5763, QPEps=0.2117)
Iter 89: *(NumConst=76, SV=58, CEps=0.5476, QPEps=0.2072)
Iter 90: *(NumConst=77, SV=58, CEps=0.7009, QPEps=0.1916)
Iter 91: *(NumConst=78, SV=59, CEps=0.5310, QPEps=0.1986)
Iter 92: *(NumConst=78, SV=59, CEps=0.5433, QPEps=0.2103)
Iter 93: *(NumConst=79, SV=60, CEps=0.4761, QPEps=0.1553)
Iter 94: *(NumConst=80, SV=61, CEps=0.3840, QPEps=0.1886)
Iter 95: *(NumConst=81, SV=63, CEps=0.5776, QPEps=0.1899)
Iter 96: *(NumConst=81, SV=64, CEps=0.5879, QPEps=0.1878)
Iter 97: *(NumConst=82, SV=65, CEps=0.5678, QPEps=0.1806)
Iter 98: *(NumConst=83, SV=66, CEps=0.4545, QPEps=0.1477)
Iter 99: *(NumConst=82, SV=67, CEps=0.5070, QPEps=0.1878)
Iter 100: *(NumConst=83, SV=67, CEps=0.3622, QPEps=0.1792)
Iter 101: *(NumConst=84, SV=66, CEps=0.5325, QPEps=0.1621)
Iter 102: *(NumConst=85, SV=67, CEps=0.4777, QPEps=0.1636)
Iter 103: *(NumConst=85, SV=69, CEps=0.4928, QPEps=0.1755)
Iter 104: *(NumConst=85, SV=69, CEps=0.3830, QPEps=0.1714)
Iter 105: *(NumConst=85, SV=70, CEps=0.4257, QPEps=0.1709)
Iter 106: *(NumConst=86, SV=72, CEps=0.3475, QPEps=0.1691)
Iter 107: *(NumConst=86, SV=72, CEps=0.5155, QPEps=0.1690)
Iter 108: *(NumConst=85, SV=74, CEps=0.3877, QPEps=0.1730)
Iter 109: *(NumConst=86, SV=74, CEps=0.4914, QPEps=0.1520)
Iter 110: *(NumConst=87, SV=75, CEps=0.3558, QPEps=0.1472)
Iter 111: *(NumConst=88, SV=76, CEps=0.4725, QPEps=0.1458)
Iter 112: *(NumConst=89, SV=77, CEps=0.5435, QPEps=0.1696)
Iter 113: *(NumConst=90, SV=78, CEps=0.4633, QPEps=0.1661)
Iter 114: *(NumConst=91, SV=80, CEps=0.4104, QPEps=0.1722)
Iter 115: *(NumConst=92, SV=81, CEps=0.4396, QPEps=0.1463)
Iter 116: *(NumConst=93, SV=78, CEps=0.4240, QPEps=0.1497)
Iter 117: *(NumConst=93, SV=79, CEps=0.4710, QPEps=0.1682)
Iter 118: *(NumConst=94, SV=80, CEps=0.3825, QPEps=0.1609)
Iter 119: *(NumConst=95, SV=80, CEps=0.2952, QPEps=0.1422)
Iter 120: *(NumConst=94, SV=81, CEps=0.3226, QPEps=0.1436)
Iter 121: *(NumConst=95, SV=81, CEps=0.3577, QPEps=0.1320)
Iter 122: *(NumConst=96, SV=82, CEps=0.2932, QPEps=0.1119)
Iter 123: *(NumConst=96, SV=83, CEps=0.4277, QPEps=0.1032)
Iter 124: *(NumConst=97, SV=83, CEps=0.3857, QPEps=0.1306)
Iter 125: *(NumConst=98, SV=84, CEps=0.3174, QPEps=0.1373)
Iter 126: *(NumConst=98, SV=85, CEps=0.3709, QPEps=0.1429)
Iter 127: *(NumConst=99, SV=86, CEps=0.3471, QPEps=0.1464)
Iter 128: *(NumConst=100, SV=85, CEps=0.3257, QPEps=0.1323)
Iter 129: *(NumConst=101, SV=87, CEps=0.2948, QPEps=0.1447)
Iter 130: *(NumConst=102, SV=88, CEps=0.4543, QPEps=0.1436)
Iter 131: *(NumConst=102, SV=89, CEps=0.3179, QPEps=0.1214)
Iter 132: *(NumConst=103, SV=89, CEps=0.3094, QPEps=0.1388)
Iter 133: *(NumConst=104, SV=90, CEps=0.4085, QPEps=0.1391)
Iter 134: *(NumConst=105, SV=92, CEps=0.3304, QPEps=0.1186)
Iter 135: *(NumConst=106, SV=92, CEps=0.2828, QPEps=0.1263)
Iter 136: *(NumConst=107, SV=94, CEps=0.2463, QPEps=0.1163)
Iter 137: *(NumConst=108, SV=94, CEps=0.3231, QPEps=0.1092)
Iter 138: *(NumConst=108, SV=95, CEps=0.2897, QPEps=0.1214)
Iter 139: .........*(NumConst=109, SV=96, CEps=0.4212, QPEps=0.1871)
Iter 140: *(NumConst=110, SV=97, CEps=0.3583, QPEps=0.1757)
Iter 141: *(NumConst=110, SV=98, CEps=0.2388, QPEps=0.1173)
Iter 142: *(NumConst=111, SV=99, CEps=0.2211, QPEps=0.0998)
Iter 143: *(NumConst=112, SV=99, CEps=0.2521, QPEps=0.1060)
Iter 144: *(NumConst=113, SV=99, CEps=0.2007, QPEps=0.0907)
Iter 145: *(NumConst=114, SV=101, CEps=0.2575, QPEps=0.0885)
Iter 146: *(NumConst=115, SV=102, CEps=0.2492, QPEps=0.0997)
Iter 147: *(NumConst=116, SV=102, CEps=0.1917, QPEps=0.0764)
Iter 148: *(NumConst=117, SV=102, CEps=0.2337, QPEps=0.0870)
Iter 149: *(NumConst=117, SV=101, CEps=0.1913, QPEps=0.0638)
Iter 150: *(NumConst=117, SV=103, CEps=0.1760, QPEps=0.0855)
Iter 151: *(NumConst=118, SV=104, CEps=0.1837, QPEps=0.0870)
Iter 152: *(NumConst=119, SV=105, CEps=0.1777, QPEps=0.0853)
Iter 153: *(NumConst=120, SV=104, CEps=0.1445, QPEps=0.0657)
Iter 154: *(NumConst=121, SV=104, CEps=0.2291, QPEps=0.0620)
Iter 155: *(NumConst=122, SV=105, CEps=0.2295, QPEps=0.0594)
Iter 156: *(NumConst=123, SV=104, CEps=0.1815, QPEps=0.0717)
Iter 157: *(NumConst=124, SV=105, CEps=0.2013, QPEps=0.0684)
Iter 158: *(NumConst=124, SV=106, CEps=0.1729, QPEps=0.0718)
Iter 159: *(NumConst=125, SV=107, CEps=0.1660, QPEps=0.0696)
Iter 160: *(NumConst=126, SV=108, CEps=0.1460, QPEps=0.0721)
Iter 161: *(NumConst=127, SV=109, CEps=0.1268, QPEps=0.0604)
Iter 162: *(NumConst=128, SV=110, CEps=0.1648, QPEps=0.0629)
Iter 163: *(NumConst=129, SV=111, CEps=0.1633, QPEps=0.0630)
Iter 164: *(NumConst=130, SV=111, CEps=0.1804, QPEps=0.0622)
Iter 165: *(NumConst=128, SV=111, CEps=0.1487, QPEps=0.0633)
Iter 166: *(NumConst=129, SV=112, CEps=0.1667, QPEps=0.0547)
Iter 167: *(NumConst=130, SV=114, CEps=0.1785, QPEps=0.0625)
Iter 168: *(NumConst=130, SV=114, CEps=0.1443, QPEps=0.0564)
Iter 169: *(NumConst=131, SV=115, CEps=0.1286, QPEps=0.0606)
Iter 170: *(NumConst=132, SV=115, CEps=0.1721, QPEps=0.0599)
Iter 171: *(NumConst=133, SV=115, CEps=0.1785, QPEps=0.0608)
Iter 172: *(NumConst=134, SV=116, CEps=0.1626, QPEps=0.0599)
Iter 173: *(NumConst=134, SV=116, CEps=0.1390, QPEps=0.0593)
Iter 174: *(NumConst=135, SV=116, CEps=0.1830, QPEps=0.0613)
Iter 175: *(NumConst=136, SV=118, CEps=0.1534, QPEps=0.0634)
Iter 176: *(NumConst=137, SV=117, CEps=0.1230, QPEps=0.0613)
Iter 177: *(NumConst=137, SV=119, CEps=0.1449, QPEps=0.0594)
Iter 178: *(NumConst=138, SV=121, CEps=0.1153, QPEps=0.0470)
Iter 179: *(NumConst=139, SV=120, CEps=0.1200, QPEps=0.0545)
Iter 180: *(NumConst=140, SV=122, CEps=0.1451, QPEps=0.0550)
Iter 181: *(NumConst=141, SV=124, CEps=0.1217, QPEps=0.0545)
Iter 182: *(NumConst=142, SV=124, CEps=0.1145, QPEps=0.0516)
Iter 183: *(NumConst=143, SV=125, CEps=0.1177, QPEps=0.0538)
Iter 184: *(NumConst=143, SV=126, CEps=0.1217, QPEps=0.0504)
Iter 185: .........*(NumConst=144, SV=127, CEps=0.1220, QPEps=0.0486)
Iter 186: *(NumConst=144, SV=127, CEps=0.1014, QPEps=0.0380)
Iter 187: *(NumConst=145, SV=127, CEps=0.1366, QPEps=0.0447)
Iter 188: *(NumConst=146, SV=128, CEps=0.1114, QPEps=0.0482)
Iter 189: *(NumConst=147, SV=129, CEps=0.1084, QPEps=0.0468)
Iter 190: *(NumConst=148, SV=130, CEps=0.1129, QPEps=0.0462)
Iter 191: .........(NumConst=148, SV=130, CEps=0.0938, QPEps=0.0462)
Final epsilon on KKT-Conditions: 0.09382
Upper bound on duality gap: 95.28950
Dual objective value: dval=1772.95603
Primal objective value: pval=1868.24553
Total number of constraints in final working set: 148 (of 190)
Number of iterations: 191
Number of calls to 'find_most_violated_constraint': 1048
Number of SV: 130 
Norm of weight vector: |w|=59.57226
Value of slack variable (on working set): xi=0.02366
Value of slack variable (global): xi=0.09382
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=6.26482
Runtime in cpu-seconds: 0.49
Final number of constraints in cache: 477
Compacting linear model...done
Writing learned model...done

