Reading training examples... (131 examples) done
Iter 79: *(NumConst=75, SV=69, CEps=0.3362, QPEps=0.1149)
Iter 80: *(NumConst=76, SV=69, CEps=0.2862, QPEps=0.0991)
Iter 81: *(NumConst=76, SV=70, CEps=0.2932, QPEps=0.0975)
Iter 82: *(NumConst=77, SV=71, CEps=0.2361, QPEps=0.1139)
Iter 83: *(NumConst=78, SV=72, CEps=0.2358, QPEps=0.1100)
Iter 84: *(NumConst=79, SV=72, CEps=0.2469, QPEps=0.1077)
Iter 85: *(NumConst=80, SV=73, CEps=0.2311, QPEps=0.1083)
Iter 86: .........*(NumConst=81, SV=74, CEps=0.3451, QPEps=0.1413)
Iter 87: *(NumConst=82, SV=75, CEps=0.2338, QPEps=0.1081)
Iter 88: *(NumConst=82, SV=76, CEps=0.2772, QPEps=0.1052)
Iter 89: *(NumConst=83, SV=77, CEps=0.2517, QPEps=0.1123)
Iter 90: *(NumConst=84, SV=78, CEps=0.2515, QPEps=0.1038)
Iter 91: *(NumConst=85, SV=79, CEps=0.1899, QPEps=0.0867)
Iter 92: *(NumConst=86, SV=80, CEps=0.2194, QPEps=0.0941)
Iter 93: *(NumConst=87, SV=81, CEps=0.2026, QPEps=0.0924)
Iter 94: *(NumConst=88, SV=81, CEps=0.1683, QPEps=0.0734)
Iter 95: *(NumConst=89, SV=82, CEps=0.1670, QPEps=0.0678)
Iter 96: *(NumConst=90, SV=83, CEps=0.1548, QPEps=0.0719)
Iter 97: *(NumConst=91, SV=84, CEps=0.1760, QPEps=0.0714)
Iter 98: *(NumConst=92, SV=85, CEps=0.1519, QPEps=0.0749)
Iter 99: *(NumConst=93, SV=85, CEps=0.1413, QPEps=0.0706)
Iter 100: *(NumConst=94, SV=86, CEps=0.1554, QPEps=0.0529)
Iter 101: *(NumConst=95, SV=87, CEps=0.1424, QPEps=0.0694)
Iter 102: *(NumConst=96, SV=88, CEps=0.1151, QPEps=0.0568)
Iter 103: *(NumConst=97, SV=89, CEps=0.1419, QPEps=0.0552)
